球員,背號,球隊,出賽次數,時間 (分),兩分命中,兩分出手,兩分%,三分命中,三分出手,三分%,罰球命中,罰球出手,罰球%,得分,攻板,防板,籃板,助攻,抄截,阻攻,失誤,犯規
吳永盛,6,臺北富邦勇士,23,9:47,0.52,1.48,35.29%,0.48,1.65,28.95%,0.13,0.3,42.86%,2.61,0.22,0.7,0.91,0.87,0.3,0.0,0.78,1.35
李學林,9,桃園璞園領航猿,14,9:28,0.29,0.64,44.44%,0.0,0.07,0%,0.14,0.14,100%,0.71,0.14,0.93,1.07,0.43,0.07,0.0,0.5,0.29
李威廷,4,新北國王,16,9:1,0.63,1.75,35.71%,0.88,2.25,38.89%,0.13,0.25,50%,4.0,0.25,0.63,0.88,0.38,0.38,0.13,0.63,0.88
張文平,10,臺北富邦勇士,17,9:0,0.47,1.06,44.44%,0.65,2.29,28.21%,0.0,0.06,0%,2.88,0.53,0.12,0.65,0.65,0.18,0.0,0.18,1.12
陳范柏彥,1,臺北富邦勇士,23,8:50,0.57,1.83,30.95%,0.74,2.22,33.33%,0.26,0.35,75%,3.61,0.43,0.78,1.22,0.3,0.17,0.0,0.43,0.57
王子綱,3,新竹御頂攻城獅,17,8:28,0.53,0.94,56.25%,0.65,2.65,24.44%,0.06,0.12,50%,3.06,0.12,0.53,0.65,0.59,0.18,0.0,0.65,1.0
李德威,26,福爾摩沙夢想家,13,6:57,0.38,1.31,29.41%,0.08,0.46,16.67%,0.0,0.15,0%,1.0,0.46,0.77,1.23,0.08,0.15,0.0,0.46,1.15
盧哲毅,15,高雄17直播鋼鐵人,23,6:49,0.17,0.61,28.57%,0.26,1.26,20.69%,0.0,0.09,0%,1.13,0.22,0.78,1.0,0.43,0.22,0.0,0.48,1.0
邱柏璋,6,高雄17直播鋼鐵人,12,6:43,0.33,1.42,23.53%,0.17,1.17,14.29%,0.25,0.33,75%,1.42,0.5,0.42,0.92,0.42,0.25,0.0,0.58,0.42
蘇培凱,2,新北國王,8,6:42,0.13,0.5,25%,0.38,1.88,20%,0.0,0.0,0%,1.38,0.25,0.75,1.0,0.38,0.13,0.0,0.25,0.38
林金榜,19,新北國王,22,6:32,0.41,1.14,36%,0.14,0.45,30%,0.05,0.18,25%,1.27,0.23,0.73,0.95,0.41,0.41,0.05,0.32,1.05
謝宗融,15,臺北富邦勇士,15,6:12,0.93,1.47,63.64%,0.07,0.4,16.67%,0.47,0.73,63.64%,2.53,0.67,1.0,1.67,0.07,0.07,0.13,0.33,0.93
劉承彥,2,高雄17直播鋼鐵人,22,5:42,0.09,0.82,11.11%,0.41,1.27,32.14%,0.32,0.45,70%,1.73,0.05,0.41,0.45,0.64,0.41,0.0,0.27,0.41
林子洧,10,桃園璞園領航猿,16,5:34,0.31,1.06,29.41%,0.06,0.5,12.5%,0.19,0.25,75%,1.0,0.31,0.25,0.56,0.56,0.13,0.0,0.31,0.94
姜廣謙,2,新竹御頂攻城獅,4,4:6,0.5,1.0,50%,0.25,0.5,50%,0.0,0.25,0%,1.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25
林孟學,13,臺北富邦勇士,4,4:24,0.5,0.5,100%,0.25,0.75,33.33%,0.5,0.75,66.67%,2.25,0.0,1.25,1.25,0.25,0.25,0.0,0.0,0.25
喬楚瑜,7,桃園璞園領航猿,14,4:12,0.21,0.36,60%,0.14,0.79,18.18%,0.0,0.0,0%,0.86,0.0,0.29,0.29,0.14,0.07,0.07,0.14,0.64
銳米,23,高雄17直播鋼鐵人,18,39:2,5.33,12.39,43.05%,2.94,9.22,31.93%,6.61,8.83,74.84%,26.11,2.06,4.94,7.0,3.67,2.89,0.39,2.67,2.78
鐵米,0,高雄17直播鋼鐵人,23,38:34,5.43,10.22,53.19%,2.65,6.65,39.87%,4.0,5.48,73.02%,22.83,1.91,7.96,9.87,2.61,1.04,0.39,3.52,2.65
沃許本,42,桃園璞園領航猿,33,36:29,7.97,14.52,54.91%,0.61,2.09,28.99%,4.24,5.55,76.5%,22.0,3.76,9.12,12.88,2.33,1.09,0.64,2.42,1.24
卡麥龍,21,高雄17直播鋼鐵人,7,35:59,8.14,16.29,50%,1.43,4.29,33.33%,6.0,6.86,87.5%,26.57,2.0,8.29,10.29,3.14,1.29,0.57,0.86,2.29
辛特力,17,臺北富邦勇士,13,35:49,3.69,8.0,46.15%,3.23,8.54,37.84%,4.08,4.92,82.81%,21.15,1.85,8.0,9.85,4.54,1.38,0.77,3.15,2.38
高國豪,4,新竹御頂攻城獅,29,35:39,3.59,8.52,42.11%,1.55,4.41,35.16%,1.62,2.21,73.44%,13.45,0.79,3.45,4.24,5.34,1.52,0.03,2.69,1.97
艾夫伯,24,新竹御頂攻城獅,28,35:29,4.32,9.36,46.18%,3.07,9.61,31.97%,4.96,5.93,83.73%,22.82,1.25,6.75,8.0,3.61,1.86,0.86,3.36,2.07
陳又瑋,4,高雄17直播鋼鐵人,36,35:0,3.11,7.22,43.08%,0.89,3.11,28.57%,1.22,2.03,60.27%,10.11,1.36,4.03,5.39,6.19,1.36,0.44,2.08,1.72
麥卡洛,5,福爾摩沙夢想家,24,34:55,5.83,11.88,49.12%,1.79,6.58,27.22%,3.21,4.88,65.81%,20.25,2.46,10.38,12.83,2.04,1.71,1.04,2.88,3.0
克拉,6,新竹御頂攻城獅,28,34:3,3.82,9.68,39.48%,1.57,4.54,34.65%,2.82,3.75,75.24%,15.18,1.64,9.14,10.79,2.04,0.75,1.89,2.57,1.93
班尼特,20,高雄17直播鋼鐵人,8,34:11,3.63,5.13,70.73%,2.38,8.63,27.54%,2.63,3.63,72.41%,17.0,1.88,7.88,9.75,1.5,2.0,0.63,2.38,2.0
塔克,55,桃園璞園領航猿,8,34:10,3.13,5.75,54.35%,2.5,9.13,27.4%,2.38,3.5,67.86%,16.13,0.88,6.0,6.88,6.63,2.13,0.38,2.75,1.25
泰勒,30,臺北富邦勇士,6,33:53,7.17,12.83,55.84%,1.17,4.17,28%,3.67,4.83,75.86%,21.5,4.0,6.67,10.67,1.33,2.0,0.17,3.33,1.5
